,college,count,Lat,Lng
0,University of Kentucky,99,38.0306511,-84.5039697
1,"University of California, Los Angeles",91,34.068921,-118.4451811
2,University of North Carolina,87,35.9049122,-79.0469134
3,University of Kansas,72,38.9543439,-95.2557961
4,Duke University,71,36.0014258,-78.9382286
5,Indiana University,60,39.1784384,-86.5133166
6,University of Notre Dame,56,41.7055716,-86.2353388
7,University of Louisville,55,38.2122761,-85.75850229999999
8,St. John's University,51,40.7220627,-73.79421119999999
9,University of Arizona,51,32.2318851,-110.9501094
10,University of Michigan,49,42.2780436,-83.7382241
11,Syracuse University,49,43.0391534,-76.1351158
12,Michigan State University,47,42.701848,-84.4821719
13,Ohio State University,43,40.0141905,-83.03091429999999
14,North Carolina State University,43,35.7846633,-78.6820946
15,Villanova University,43,40.037056,-75.34358
16,University of Illinois at Urbana-Champaign,41,40.1019523,-88.2271615
17,University of Minnesota,41,44.97399,-93.2277285
18,University of Maryland,40,38.9869183,-76.9425543
19,Louisiana State University,40,30.4132579,-91.1800023
